L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;vType;vWeight;[A]LONG_NAME_HUN;[A]LONG_NAME_ENG;[N]COMPANY;[N]FOREIGN;[S]KOD;[N]STATUSZ;[N]FOREIGN;[N]SAP;[S]SUBS_GROUP;[S]COUNTRY;[N]PROJECT;[S]OLD_NAME;[S]TAX_GROUP;[S]OPERATIONS
;FLOG;;;;;;;;;;;;;;N;1;FLOGISTON Kft.;FLOGISTON Kft.;1;;6A;1;;;;HU;;;;
;MNDC;;;;;;;;;;;;;;N;1;MVM NET Adatközpont Kft.;MVM NET Adatközpont Kft.;1;;;1;;;;HU;;;;
;MTKT;;;;;;;;;;;;;;N;1;MVM NET Zrt.;MVM NET Zrt.;1;;34;1;;1;;HU;;;;
;NENG;;;;;;;;;;;;;;N;1;MVM Next Zrt.;MVM Next Zrt.;1;;63;1;;;;HU;;;;
;NUFK;;;;;;;;;;;;;;N;1;MVM Ügyfélkapcsolati Kft.;MVM Ügyfélkapcsolati Kft.;1;;66;1;;;;HU;;;;
;MFBF;;;;;;;;;;;;;;N;1;MVM Otthon Plusz Zrt.;MVM Otthon Plusz Zrt.;1;;69;1;;;;HU;;;;
;KVIL;;;;;;;;;;;;;;N;1;MVM Lumen Kft.;MVM Lumen Kft.;1;;6F;1;;;;HU;;;;
;FCNG;;;;;;;;;;;;;;N;1;MVM Mobiliti Kft.;MVM Mobiliti Kft.;1;;68;1;;;;HU;;;;
;KCNG;;;;;;;;;;;;;;N;1;Kapos CNG Kft.;Kapos CNG Kft.;1;;76;1;;;;HU;;;;
;EMOB;;;;;;;;;;;;;;N;1;e-Mobi Nonprofit Kft.;e-Mobi Nonprofit Kft.;1;;70;1;;;;HU;;;;
;MOBV;;;;;;;;;;;;;;N;1;Mobiliti VOLÁNBUSZ Kft.;Mobiliti VOLÁNBUSZ Kft.;1;;2A;1;;;;HU;;;;
;URBN;;;;;;;;;;;;;;N;1;MVM Optimum Kft.;MVM Optimum Kft.;1;;9A;1;;;;HU;;;;
;NGBS;;;;;;;;;;;;;;N;1;NGBS Hungary Kft.;NGBS Hungary Kft.;1;;;1;;;;HU;;;;
;WATT;;;;;;;;;;;;;;N;1;MVM Watt Eta Kft.;MVM Watt Eta Kft.;1;;6B;1;;;;HU;;;;
;KOOP;;;;;;;;;;;;;;N;1;MVM ESCO Zrt.;MVM ESCO Zrt.;1;;94;1;;;;HU;;;;
;ENEA;;;;;;;;;;;;;;N;1;MVM Optimum Zrt.;MVM Optimum Zrt.;1;;67;1;;;;HU;;;;
;ENKS;;;;;;;;;;;;;;N;1;NKM Csoport;NKM Csoport;1;;;1;;1;;HU;;;;
;EONA;;;;;;;;;;;;;;N;1;E.ON Áramszolgáltató Kft.;E.ON Áramszolgáltató Kft.;1;;6K;1;;;;HU;;;;
;EUFK;;;;;;;;;;;;;;N;1;MVM EÉ Ügyfélkapcsolati Kft.;MVM EÉ Ügyfélkapcsolati Kft.;1;;7A;1;;;;HU;;;;
;DEMA;;;;;;;;;;;;;;N;1;NKM Áramszolgáltató Zrt.;NKM Áramszolgáltató Zrt.;1;;;1;;;;HU;;;;
;FGAZ;;;;;;;;;;;;;;N;1;NKM Földgázszolgáltató Zrt.;NKM Földgázszolgáltató Zrt.;1;;;1;;;;HU;;;;
;SYSC;;;;;;;;;;;;;;N;1;Sysco-Lux Kft.;Sysco-Lux Kft.;1;;;;;;;;;;;
;CZCR;;;;;;;;;;;;;;N;1;innogy Ceska republika a.s.;innogy Ceska republika a.s.;1;1;;1;1;;;CZ;;;;
;CZEI;;;;;;;;;;;;;;N;1;innogy Energie s.r.o.;innogy Energie s.r.o.;1;1;;1;1;;;CZ;;;;
;CZEO;;;;;;;;;;;;;;N;1;innogy Energo s.r.o.;innogy Energo s.r.o.;1;1;C3;1;1;;;CZ;;;;
;CZET;;;;;;;;;;;;;;N;1;Energo TTS s.r.o.;Energo TTS s.r.o.;1;1;;1;1;;;CZ;;;;
;CZPN;;;;;;;;;;;;;;N;1;innogy Energetika Plhov-Náchod s.r.o;innogy Energetika Plhov-Náchod s.r.o;1;1;C5;1;1;;;CZ;;;;
;CZZS;;;;;;;;;;;;;;N;1;innogy Zakaznicke Sluzby s.r.o.;innogy Zakaznicke Sluzby s.r.o.;1;1;C4;1;1;;;CZ;;;;
;TTSM;;;;;;;;;;;;;;N;1;TTS Martin s.r.o.;TTS Martin s.r.o.;1;1;;1;1;;;SK;;;;
;EKRA;;;;;;;;;;;;;;N;1;Elektromontaža d.o.o. Kraljevo;Elektromontaža d.o.o. Kraljevo;1;1;;1;1;;;RS;;;;
;ENOV;;;;;;;;;;;;;;N;1;Energotehnika Južna Bačka d.o.o. Novi Sad;Energotehnika Južna Bačka d.o.o. Novi Sad;1;1;;1;1;;;RS;;;;
;MUPS;;;;;;;;;;;;;;N;1;MVM Upstream Kft.;MVM Upstream Kft.;1;1;;;;;;;;;;
;HSRL;;;;;;;;;;;;;;N;1;MVM Future Energy Technology SRL;MVM Future Energy Technology SRL;1;1;;1;1;;;RO;;;;
;PROM;;;;;;;;;;;;;;N;1;MVM Energy Romania SA;MVM Energy Romania SA;1;1;;1;1;;;RO;;;;
;MINT;;;;;;;;;;;;;;N;1;MVM Switzerland AG;MVM Switzerland AG;1;1;;1;1;;;CH;;;;
;ADWE;;;;;;;;;;;;;;N;1;MVM-ADWEST GmbH;MVM-ADWEST GmbH;1;1;;;;;;;;;;
;AQUA;;;;;;;;;;;;;;N;1;AQUA Energia SRL;AQUA Energia SRL;1;1;;1;1;;;RO;;;;
;CYEB;;;;;;;;;;;;;;N;1;MVM Energy Trade Plus SRL;MVM Energy Trade Plus SRL;1;1;;1;1;;;RO;;;;
;H2OE;;;;;;;;;;;;;;N;1;H2O Energy SRL;H2O Energy SRL;1;1;;1;1;;;RO;;;;
;SYSI;;;;;;;;;;;;;;N;1;MVM Investment Ukrajna Kft.;MVM Investment Ukrajna Kft.;1;1;;;;;;;;;;
;MVRT;;;;;;;;;;;;;;N;1;MVM Zrt.;MVM Zrt.;1;;16;1;;1;;HU;;;;
;NKMH;;;;;;;;;;;;;;N;1;MVM Services Zrt.;MVM Services Zrt.;1;;59;1;;;;HU;;;;
;MVMI;;;;;;;;;;;;;;N;1;MVMI Zrt.;MVMI Zrt.;1;;15;1;;1;;HU;;;;
;MING;;;;;;;;;;;;;;N;1;MVM Ingatlankezelő Kft.;MVM Ingatlankezelő Kft.;1;;1D;1;;;;HU;;;;
;ROIR;;;;;;;;;;;;;;N;1;Római Irodaház Kft.;Római Irodaház Kft.;1;;29;1;;1;;HU;;;;
;NEUR;;;;;;;;;;;;;;N;1;MVM Neuron Kft.;MVM Neuron Kft.;1;;;;;;;;;;;
;XPER;;;;;;;;;;;;;;N;1;MVM XPert Zrt.;MVM XPert Zrt.;1;;21;1;;;;HU;;;;
;OVIT;;;;;;;;;;;;;;N;1;Speciális Nehézszállító Zrt.;Speciális Nehézszállító Zrt.;1;;11;1;;1;;HU;;;;
;OVMF;;;;;;;;;;;;;;N;1;MVM OVIT Manufacturing Zrt.;MVM OVIT Manufacturing Zrt.;1;;;;;;;;;;;
;HOAR;;;;;;;;;;;;;;N;1;MVM Hotel Panoráma Kft.;MVM Hotel Panoráma Kft.;1;;37;1;;;;HU;;;;
;NIKR;;;;;;;;;;;;;;N;1;NIKER d.o.o.;NIKER d.o.o.;1;1;39;1;1;;;HR;;;;
;ENEX;;;;;;;;;;;;;;N;1;MVM EGI Zrt.;MVM EGI Zrt.;1;1;CB;1;1;;;HU;;;;
;EXCS;;;;;;;;;;;;;;N;1;MVM EGI Cooling Systems (China) Co. Ltd.;MVM EGI Cooling Systems (China) Co. Ltd.;1;1;CE;1;1;;;CN;;;;
;EXCT;;;;;;;;;;;;;;N;1;MVM EGI Cooling Systems Trading (Beijing) Co. Ltd.;MVM EGI Cooling Systems Trading (Beijing) Co. Ltd.;1;1;CD;1;1;;;CN;;;;
;SLAB;;;;;;;;;;;;;;N;1;MVM Smart Future Lab Zrt.;MVM Smart Future Lab Zrt.;1;;87;1;;;;HU;;;;
;MTIT;;;;;;;;;;;;;;N;1;MVM Titán Zrt.;MVM Titán Zrt.;1;;58;1;;1;;HU;;;;
;BSZK;;;;;;;;;;;;;;N;1;MVM BSZK Zrt.;MVM BSZK Zrt.;1;;;1;;1;;HU;;;;
;EKSS;;;;;;;;;;;;;;N;1;EKS Service Kft.;EKS Service Kft.;1;;;1;;;;HU;;;;
;ENME;;;;;;;;;;;;;;N;1;MVM EnerGo Kft.;MVM EnerGo Kft.;1;;95;1;;;;HU;;;;
;GSOL;;;;;;;;;;;;;;N;1;GRAPE Solutions Zrt.;GRAPE Solutions Zrt.;1;;80;1;;;;HU;;;;
;HOVE;;;;;;;;;;;;;;N;1;MVM Hotel Vértes Kft.;MVM Hotel Vértes Kft.;1;;38;1;;;;HU;;;;
;HSSC;;;;;;;;;;;;;;N;1;HSSC Szolgáltató Központ Kft.;HSSC Szolgáltató Központ Kft.;1;;;1;;;;HU;;;;
;KONT;;;;;;;;;;;;;;N;1;MVM KONTÓ Zrt.;MVM KONTÓ Zrt.;1;;18;1;;1;;HU;;;;
;KUSZ;;;;;;;;;;;;;;N;1;Nemzeti Üzleti Szolgáltató Zrt.;Nemzeti Üzleti Szolgáltató Zrt.;1;;;1;;;;HU;;;;
;NUIT;;;;;;;;;;;;;;N;1;NÜSZ Informatikai Kft.;NÜSZ Informatikai Kft.;1;;;1;;;;HU;;;;
;VILL;;;;;;;;;;;;;;N;1;MVM Villkesz Kft.;MVM Villkesz Kft.;1;;12;1;;;;HU;;;;
;VSZK;;;;;;;;;;;;;;N;1;VB Szolgáltató Központ Kft.;VB Szolgáltató Központ Kft.;1;;;1;;;;HU;;;;
;generation_gen;;;;;;;;;;;;;;N;1;Termelés (általános);Production (general);1;;;1;;;;;;;;
;infra_gen;;;;;;;;;;;;;;N;1;Infrastruktúra (általános);Infrastructure (general);1;;;1;;;;;;;;
;wholesale_fen;;;;;;;;;;;;;;N;1;Nagykereskedelem (általános);Wholesale trade (general);1;;;1;;;;;;;;
;retail_fen;;;;;;;;;;;;;;N;1;Ügyféloldali szolgáltatások (általános);Customer-facing services (general);1;;;1;;;;;;;;
;intern_gen;;;;;;;;;;;;;;N;1;Nemzetközi üzleti területek (általános);International business areas (general);1;;;1;;;;;;;;
;other_gen;;;;;;;;;;;;;;N;1;Egyéb társaságok (általános);Other companies (general);1;;;1;;;;;;;;
group_sum_chk;;;;;;;;;;;;;;;C;0;Vállalat összesen ellenőrzés;Control - total company;;1;0;0;;;;;;;;
;mvm_group_sum;;;;;;;;;;;;;;C;1;MVM csoport összesen;MVM Group sum;;;;;;;;;;;;
;;intersegment;;;;;;;;;;;;;N;1;Szegmensek közötti tranzakciók;Tranzaction between segments;;0;0;0;;;;;;;;
;;genenration;;;;;;;;;;;;;N;1;Termelés;Generation segment;;0;0;0;;;;;;;;
;;infra;;;;;;;;;;;;;N;1;Infrastruktúra;Infrastructure segment;;0;0;0;;;;;;;;
;;wholesale;;;;;;;;;;;;;N;1;Nagykereskedelem;Wholesale segment;;0;0;0;;;;;;;;
;;retail;;;;;;;;;;;;;N;1;Ügyféloldali szolgáltatások;Retail segment;;0;0;0;;;;;;;;
;;international;;;;;;;;;;;;;N;1;Nemzetközi üzleti területek;International business segment;;0;0;0;;;;;;;;
;;other;;;;;;;;;;;;;N;1;Egyéb társaságok;Other segment;;0;0;0;;;;;;;;
;other_affil;;;;;;;;;;;;;;N;1;Egyéb kapcsolt körbe tartozó vállalatok összesen;Other related companies total;;;;;;;;;;;;
;third_party;;;;;;;;;;;;;;N;1;Kapcsolt körön kívüli vállalatok összesen;3rd part partner total;;;;;;;;;;;;
;non_classified;;;;;;;;;;;;;;N;1;Üzletágba nem sorolt vállalatok;Not classified companies in segment;;;;;;;;;;;;
affil_calc;;;;;;;;;;;;;;;N;0;Kapcsolt körön belül kalkulált;Affiliated comapanies;;;;;;;;;;;;
affil_calc_tech;;;;;;;;;;;;;;;C;0;Kapcsolt körön belül kalkulációhoz technikai elem;Affiliated comapanies - tech;;;;;;;;;;;;
